ITEM,POPULATION TYPE,OCCURRENCES,POPULATION COUNT,PREVALENCE RATE,PREVALENCE PERCENTAGE
Xulane 150/35 Mcg/Day Weekly Transdermal System,LIVING,34,1000,0.034,3.4
Closed Fracture Of Hip,LIVING,33,1000,0.033,3.3
Osteoarthritis Of Knee,LIVING,33,1000,0.033,3.3
Osteoporosis (Disorder),LIVING,31,1000,0.031,3.1
Cardiac Arrest,LIVING,31,1000,0.031,3.1
History Of Cardiac Arrest,LIVING,31,1000,0.031,3.1
Epinephrine,LIVING,31,1000,0.031,3.1
Atropine,LIVING,31,1000,0.031,3.1
Shellfish Allergy,LIVING,30,1000,0.03,3
Fluticasone Propionate 0.25 Mg/Actuat / Salmeterol 0.05 Mg/Actuat [Advair],LIVING,30,1000,0.03,3
Coronary Heart Disease,LIVING,29,1000,0.029,2.9
Simvastatin,LIVING,29,1000,0.029,2.9
Amlodipine,LIVING,29,1000,0.029,2.9
Nitroglycerin,LIVING,29,1000,0.029,2.9
Amiodarone,LIVING,29,1000,0.029,2.9
Allergy To Bee Venom,LIVING,28,1000,0.028,2.8
Allergy To Wheat,LIVING,28,1000,0.028,2.8
Alendronic Acid 10 Mg [Fosamax],LIVING,28,1000,0.028,2.8
Fexofenadine Hydrochloride 30 Mg Oral Tablet,LIVING,28,1000,0.028,2.8
Contact Dermatitis,LIVING,26,1000,0.026,2.6
Atopic Dermatitis,LIVING,26,1000,0.026,2.6
Allergy To Fish,LIVING,25,1000,0.025,2.5
Diphenhydramine Hydrochloride 25 Mg Oral Tablet,LIVING,25,1000,0.025,2.5
Asthma,LIVING,24,1000,0.024,2.4
Latex Allergy,LIVING,24,1000,0.024,2.4
Levora 0.15/30 28 Day Pack,LIVING,24,1000,0.024,2.4
Neuropathy Due To Type 2 Diabetes Mellitus (Disorder),LIVING,23,1000,0.023,2.3
Injury Of Medial Collateral Ligament Of Knee,LIVING,23,1000,0.023,2.3
Nitrofurantoin Macrocrystals 50 Mg [Macrodantin],LIVING,23,1000,0.023,2.3
Loratadine 5 Mg Chewable Tablet,LIVING,23,1000,0.023,2.3
Injury Of Anterior Cruciate Ligament,LIVING,22,1000,0.022,2.2
Concussion Injury Of Brain,LIVING,22,1000,0.022,2.2
Seizure Disorder,LIVING,22,1000,0.022,2.2
History Of Single Seizure (Situation),LIVING,22,1000,0.022,2.2
Allergy To Dairy Product,LIVING,22,1000,0.022,2.2
Hydrocortisone 10 Mg/Ml Topical Cream,LIVING,22,1000,0.022,2.2
Chronic Obstructive Bronchitis (Disorder),LIVING,21,1000,0.021,2.1
Methylphenidate Hydrochloride 20 Mg [Ritalin],LIVING,21,1000,0.021,2.1
Allergy To Nut,LIVING,20,1000,0.02,2
Tear Of Meniscus Of Knee,LIVING,19,1000,0.019,1.9
Tubal Pregnancy,LIVING,19,1000,0.019,1.9
Allergy To Peanuts,LIVING,19,1000,0.019,1.9
Chlorpheniramine 2 Mg Chewable Tablet,LIVING,19,1000,0.019,1.9
Diabetic Retinopathy Associated With Type Ii Diabetes Mellitus (Disorder),LIVING,18,1000,0.018,1.8
0.65 Ml Depo Subq Provera 160 Mg/Ml Prefilled Syringe,LIVING,18,1000,0.018,1.8
Pathological Fracture Due To Osteoporosis (Disorder),LIVING,15,1000,0.015,1.5
Impacted Molars,LIVING,15,1000,0.015,1.5
3 Ml Liraglutide 6 Mg/Ml Pen Injector,LIVING,15,1000,0.015,1.5
12 Hr Cefaclor 500 Mg Extended Release Oral Tablet,LIVING,15,1000,0.015,1.5
Acetaminophen 300 Mg / Hydrocodone Bitartrate 5 Mg [Vicodin],LIVING,15,1000,0.015,1.5
Osteoarthritis Of Hip,LIVING,14,1000,0.014,1.4
Epilepsy,LIVING,14,1000,0.014,1.4
Diabetic Renal Disease (Disorder),LIVING,13,1000,0.013,1.3
Rupture Of Appendix,LIVING,13,1000,0.013,1.3
Rupture Of Patellar Tendon,LIVING,13,1000,0.013,1.3
Insulin Human Isophane 70 Unt/Ml / Regular Insulin Human 30 Unt/Ml Injectable Suspension [Humulin],LIVING,13,1000,0.013,1.3
Clonazepam [Klonopin],LIVING,13,1000,0.013,1.3
Natazia 28 Day Pack,LIVING,13,1000,0.013,1.3
Diazepam [Valium],LIVING,13,1000,0.013,1.3
Naproxen Sodium 550 Mg [Anaprox],LIVING,12,1000,0.012,1.2
Nonproliferative Diabetic Retinopathy Due To Type 2 Diabetes Mellitus (Disorder),LIVING,11,1000,0.011,1.1
Seasonal Allergic Rhinitis,LIVING,11,1000,0.011,1.1
Congenital Uterine Anomaly,LIVING,11,1000,0.011,1.1
Carbamazepine[Tegretol],LIVING,11,1000,0.011,1.1
Galantamine 4 Mg [Razadyne],LIVING,11,1000,0.011,1.1
Pulmonary Emphysema (Disorder),LIVING,10,1000,0.01,1
Allergy To Soya,LIVING,10,1000,0.01,1
Astemizole 10 Mg Oral Tablet,LIVING,10,1000,0.01,1
Cetirizine Hydrochloride 5 Mg Oral Tablet,LIVING,10,1000,0.01,1
Complication Occuring During Pregnancy,LIVING,9,1000,0.009,0.9
Localized Primary Osteoarthritis Of The Hand,LIVING,9,1000,0.009,0.9
Alzheimer's Disease (Disorder),LIVING,9,1000,0.009,0.9
Loratadine 10 Mg Oral Tablet,LIVING,9,1000,0.009,0.9
Recurrent Rectal Polyp,LIVING,8,1000,0.008,0.8
Primary Malignant Neoplasm Of Colon,LIVING,8,1000,0.008,0.8
Drug Overdose,LIVING,8,1000,0.008,0.8
Recurrent Urinary Tract Infection,LIVING,8,1000,0.008,0.8
Doxycycline Monohydrate 100 Mg Oral Tablet,LIVING,8,1000,0.008,0.8
Brain Damage   Traumatic,LIVING,7,1000,0.007,0.7
Canagliflozin 100 Mg Oral Tablet,LIVING,7,1000,0.007,0.7
Liletta 52 Mg Intrauterine System,LIVING,7,1000,0.007,0.7
Chronic Intractable Migraine Without Aura,LIVING,6,1000,0.006,0.6
Acetaminophen 325 Mg / Oxycodone Hydrochloride 5 Mg [Percocet],LIVING,6,1000,0.006,0.6
Donepezil Hydrochloride 10 Mg / Memantine Hydrochloride 28 Mg [Namzaric],LIVING,6,1000,0.006,0.6
Bullet Wound,LIVING,5,1000,0.005,0.5
Chronic Pain,LIVING,5,1000,0.005,0.5
Primary Fibromyalgia Syndrome,LIVING,5,1000,0.005,0.5
Third Degree Burn,LIVING,5,1000,0.005,0.5
Oxycodone Hydrochloride 15 Mg [Oxycontin],LIVING,5,1000,0.005,0.5
Terfenadine 60 Mg Oral Tablet,LIVING,5,1000,0.005,0.5
Fexofenadine Hydrochloride 60 Mg Oral Tablet,LIVING,5,1000,0.005,0.5
Gout,LIVING,4,1000,0.004,0.4
Insulin Lispro 100 Unt/Ml Injectable Solution [Humalog],LIVING,4,1000,0.004,0.4
Pregabalin 100 Mg [Lyrica],LIVING,4,1000,0.004,0.4
Duloxetine 20 Mg [Cymbalta],LIVING,4,1000,0.004,0.4
Milnacipran Hydrochloride 100 Mg [Savella],LIVING,4,1000,0.004,0.4
Allopurinol 100 Mg [Zyloprim],LIVING,4,1000,0.004,0.4
Kyleena 19.5 Mg Intrauterine System,LIVING,4,1000,0.004,0.4
Rheumatoid Arthritis,LIVING,3,1000,0.003,0.3
Microalbuminuria Due To Type 2 Diabetes Mellitus (Disorder),LIVING,3,1000,0.003,0.3
Leucovorin 100 Mg Injection,LIVING,3,1000,0.003,0.3
Oxaliplatin 5 Mg/Ml [Eloxatin],LIVING,3,1000,0.003,0.3
Methotrexate 10 Mg [Trexall],LIVING,3,1000,0.003,0.3
Macular Edema And Retinopathy Due To Type 2 Diabetes Mellitus (Disorder),LIVING,2,1000,0.002,0.2
Overlapping Malignant Neoplasm Of Colon,LIVING,2,1000,0.002,0.2
Malignant Tumor Of Colon,LIVING,2,1000,0.002,0.2
Protracted Diarrhea,LIVING,2,1000,0.002,0.2
Bleeding From Anus,LIVING,2,1000,0.002,0.2
Familial Alzheimer's Disease Of Early Onset (Disorder),LIVING,2,1000,0.002,0.2
Myocardial Infarction,LIVING,2,1000,0.002,0.2
History Of Myocardial Infarction,LIVING,2,1000,0.002,0.2
Fracture Of Vertebral Column Without Spinal Cord Injury,LIVING,2,1000,0.002,0.2
Memantine Hydrochloride 2 Mg/Ml [Namenda],LIVING,2,1000,0.002,0.2
Acetaminophen 325 Mg / Oxycodone Hydrochloride 2.5 Mg [Percocet],LIVING,2,1000,0.002,0.2
Atorvastatin,LIVING,2,1000,0.002,0.2
Captopril,LIVING,2,1000,0.002,0.2
Secondary Malignant Neoplasm Of Colon,LIVING,1,1000,0.001,0.1
Proteinuria Due To Type 2 Diabetes Mellitus (Disorder),LIVING,1,1000,0.001,0.1
Proliferative Diabetic Retinopathy Due To Type Ii Diabetes Mellitus (Disorder),LIVING,1,1000,0.001,0.1
Atomoxetine 100 Mg [Strattera],LIVING,1,1000,0.001,0.1
Suspected Lung Cancer (Situation),LIVING,0,1000,0,0
Non Small Cell Lung Cancer (Disorder),LIVING,0,1000,0,0
Non Small Cell Carcinoma Of Lung Tnm Stage 4 (Disorder),LIVING,0,1000,0,0
Pneumonia,LIVING,0,1000,0,0
Small Cell Carcinoma Of Lung (Disorder),LIVING,0,1000,0,0
Primary Small Cell Malignant Neoplasm Of Lung Tnm Stage 4 (Disorder),LIVING,0,1000,0,0
History Of Amputation Of Foot (Situation),LIVING,0,1000,0,0
Non Small Cell Carcinoma Of Lung Tnm Stage 1 (Disorder),LIVING,0,1000,0,0
Non Small Cell Carcinoma Of Lung Tnm Stage 3 (Disorder),LIVING,0,1000,0,0
Burn Injury(Morphologic Abnormality),LIVING,0,1000,0,0
Non Small Cell Carcinoma Of Lung Tnm Stage 2 (Disorder),LIVING,0,1000,0,0
Pyelonephritis,LIVING,0,1000,0,0
Attempted Suicide   Suffocation,LIVING,0,1000,0,0
Primary Small Cell Malignant Neoplasm Of Lung Tnm Stage 2 (Disorder),LIVING,0,1000,0,0
Primary Small Cell Malignant Neoplasm Of Lung Tnm Stage 3 (Disorder),LIVING,0,1000,0,0
Cisplatin 50 Mg Injection,LIVING,0,1000,0,0
Paclitaxel 100 Mg Injection,LIVING,0,1000,0,0
Etoposide 100 Mg Injection,LIVING,0,1000,0,0
Donepezil Hydrochloride 10 Mg [Aricept],LIVING,0,1000,0,0
Donepezil Hydrochloride 23 Mg [Aricept],LIVING,0,1000,0,0
Tacrine 10 Mg Oral Capsule,LIVING,0,1000,0,0
Prednisone 2.5 Mg [Deltasone],LIVING,0,1000,0,0
Colchicine 0.6 Mg [Colcrys],LIVING,0,1000,0,0
Chlorpheniramine 8 Mg Oral Tablet,LIVING,0,1000,0,0
